,Title,Year,Genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score,Net Earnings
602,Stone Cold ,1991,Action|Crime|Drama|Thriller,English,USA,R,88,1.85,17000000.0,9286314.0,Craig R. Baxley,Brian Bosworth,Sam McMurray,Richard Gant,22,174,132,120.0,583,0,1,4972,62,27.0,5.9,-7713686.0
603,Straight Out of Brooklyn ,1991,Crime|Drama,English,USA,R,91,1.85,450000.0,2712293.0,Matty Rich,Lawrence Gilliard Jr.,George T. Odom,Matty Rich,10,353,12,10.0,380,123,4,475,11,8.0,5.9,2262293.0
604,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,1991,Action|Adventure|Comedy|Family|Sci-Fi,English,USA,PG,88,1.85,25000000.0,78656813.0,Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.,34,642,533,445.0,2501,0,0,42765,93,68.0,6.0,53656813.0
605,Terminator 2: Judgment Day ,1991,Action|Sci-Fi,English,USA,R,153,2.35,102000000.0,204843350.0,James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,0,780,604,539.0,2829,13000,0,744891,983,210.0,8.5,102843350.0
606,The Addams Family ,1991,Comedy|Fantasy,English,USA,PG-13,99,1.85,38000000.0,113502246.0,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Carel Struycken,188,1000,1000,436.0,3696,5000,0,96607,125,55.0,6.8,75502246.0
607,The Doors ,1991,Biography|Drama|Music|Musical,English,USA,R,140,2.35,38000000.0,35183792.0,Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan,0,720,576,552.0,3044,0,1,68159,209,82.0,7.2,-2816208.0
608,The Fisher King ,1991,Comedy|Drama|Fantasy,English,USA,R,137,1.85,24000000.0,41895491.0,Terry Gilliam,Jeff Bridges,David Hyde Pierce,Harry Shearer,0,12000,443,161.0,12947,12000,1,63274,170,84.0,7.6,17895491.0
609,The Naked Gun 2½: The Smell of Fear ,1991,Comedy|Crime,English,USA,PG-13,85,1.85,23000000.0,86930411.0,David Zucker,George Kennedy,Priscilla Presley,O.J. Simpson,119,3000,348,144.0,3847,0,6,83269,87,43.0,6.8,63930411.0
610,The Prince of Tides ,1991,Drama|Romance,English,USA,R,132,1.85,30000000.0,74787599.0,Barbra Streisand,George Carlin,Blythe Danner,Melinda Dillon,0,769,713,252.0,1936,883,1,12549,109,30.0,6.6,44787599.0
611,The Silence of the Lambs ,1991,Crime|Drama|Horror|Thriller,English,USA,R,138,1.85,19000000.0,130727000.0,Jonathan Demme,Anthony Hopkins,Scott Glenn,Anthony Heald,438,12000,826,173.0,13184,40000,0,887467,916,185.0,8.6,111727000.0
612,White Fang ,1991,Adventure|Drama,English,USA,PG,107,1.85,14000000.0,34793160.0,Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,116,327,172,25.0,552,0,1,15730,31,10.0,6.7,20793160.0
613,A Few Good Men ,1992,Drama|Thriller,English,USA,R,138,2.35,40000000.0,141340178.0,Rob Reiner,Tom Cruise,Demi Moore,Kevin Pollak,0,10000,2000,574.0,14619,0,0,181879,319,81.0,7.6,101340178.0
614,A League of Their Own ,1992,Comedy|Drama|Sport,English,USA,PG,128,2.35,40000000.0,107458785.0,Penny Marshall,Tom Hanks,Lori Petty,Rosie O'Donnell,545,15000,923,251.0,16751,0,3,71754,166,41.0,7.2,67458785.0
615,Aladdin ,1992,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,English,USA,G,90,1.33,28000000.0,217350219.0,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,63,49000,2000,631.0,52970,0,0,260939,244,124.0,8.0,189350219.0
616,Alien 3 ,1992,Action|Horror|Sci-Fi,English,USA,R,145,2.35,50000000.0,55473600.0,David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,21000,534,273,243.0,1543,0,0,207686,776,210.0,6.4,5473600.0
617,Army of Darkness ,1992,Comedy|Fantasy|Horror,English,USA,R,88,1.85,13000000.0,11501093.0,Sam Raimi,Patricia Tallman,Bridget Fonda,Embeth Davidtz,0,901,888,795.0,3913,10000,0,128850,604,221.0,7.6,-1498907.0
618,Batman Returns ,1992,Action,English,USA,PG-13,126,1.85,80000000.0,162831698.0,Tim Burton,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,13000,920,811,390.0,2899,0,0,215255,610,153.0,7.0,82831698.0
619,Boomerang ,1992,Comedy|Drama|Romance,English,USA,R,117,1.85,40000000.0,70100000.0,Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,71,723,558,547.0,3841,0,1,20183,41,21.0,5.4,30100000.0
620,Bram Stoker's Dracula ,1992,Fantasy|Horror|Romance,English,USA,R,155,1.85,40000000.0,82522790.0,Francis Ford Coppola,Keanu Reeves,Anthony Hopkins,Gary Oldman,0,18000,12000,10000.0,42220,14000,0,143835,654,181.0,7.5,42522790.0
621,Death Becomes Her ,1992,Comedy|Fantasy|Horror,English,USA,PG-13,104,1.85,55000000.0,58422650.0,Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,0,13000,11000,812.0,25599,8000,3,78974,173,49.0,6.4,3422650.0
622,El Mariachi ,1992,Action|Crime|Drama|Romance|Thriller,Spanish,USA,R,81,1.37,7000.0,2040920.0,Robert Rodriguez,Carlos Gallardo,Peter Marquardt,Consuelo Gómez,0,121,20,6.0,147,0,0,52055,130,56.0,6.9,2033920.0
623,Fortress ,1992,Action|Crime|Sci-Fi|Thriller,English,Australia,R,95,1.85,8000000.0,6739141.0,Stuart Gordon,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,216,1000,1000,968.0,4755,1000,0,23383,68,58.0,5.9,-1260859.0
624,Glengarry Glen Ross ,1992,Crime|Drama|Mystery,English,USA,R,100,2.35,12500000.0,10725228.0,James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,164,18000,14000,99.0,32288,0,1,75675,365,120.0,7.8,-1774772.0
625,Hoffa ,1992,Biography|Crime|Drama,English,USA,R,140,2.35,35000000.0,24276500.0,Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle,0,436,263,210.0,1394,949,2,17124,68,32.0,6.6,-10723500.0
626,Home Alone 2: Lost in New York ,1992,Adventure|Comedy|Family,English,USA,PG,120,1.85,18000000.0,173585516.0,Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,0,3000,1000,1000.0,7860,0,2,200077,189,37.0,6.6,155585516.0
627,Howards End ,1992,Drama|Romance,English,UK,PG,140,2.35,3.0,25967000.0,James Ivory,Anthony Hopkins,Vanessa Redgrave,Samuel West,133,12000,898,136.0,13180,788,3,21254,86,51.0,7.5,25966997.0
628,Lethal Weapon 3 ,1992,Action|Crime|Thriller,English,USA,R,121,2.35,35000000.0,144731527.0,Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson,503,808,277,94.0,1446,0,2,128010,136,68.0,6.7,109731527.0
629,Light Sleeper ,1992,Crime|Drama,English,USA,R,103,1.85,5000000.0,1100000.0,Paul Schrader,Dana Delany,Jane Adams,David Clennon,261,722,280,145.0,1201,247,0,3665,39,19.0,6.8,-3900000.0
630,Malcolm X ,1992,Biography|Drama|History|Romance,English,USA,PG-13,202,1.85,33000000.0,48169908.0,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,0,18000,848,318.0,20143,0,0,63923,156,61.0,7.7,15169908.0
631,Medicine Man ,1992,Adventure|Drama|Romance,English,USA,PG-13,106,2.35,40000000.0,45500797.0,John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,323,472,47,0.0,519,694,2,17443,56,25.0,6.0,5500797.0
632,Memoirs of an Invisible Man ,1992,Comedy|Romance|Sci-Fi|Thriller,English,USA,PG-13,99,2.35,40000000.0,14358033.0,John Carpenter,Richard Epcar,Michael McKean,Patricia Heaton,0,782,658,402.0,2125,630,2,17365,66,40.0,5.9,-25641967.0
633,My Cousin Vinny ,1992,Comedy|Crime,English,USA,R,120,1.85,11000000.0,52929168.0,Jonathan Lynn,Fred Gwynne,Bruce McGill,Lane Smith,36,886,655,633.0,3280,7000,1,82743,201,54.0,7.5,41929168.0
634,Patriot Games ,1992,Action|Thriller,English,USA,R,117,2.35,45000000.0,83287363.0,Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,176,11000,530,308.0,12757,0,1,81442,137,47.0,6.9,38287363.0
635,Radio Flyer ,1992,Drama,English,USA,PG-13,114,2.35,35000000.0,4651977.0,Richard Donner,Adam Baldwin,Thomas Ian Nicholas,John Heard,503,2000,864,697.0,4334,892,3,10410,71,10.0,6.9,-30348023.0
636,Raising Cain ,1992,Crime|Drama|Thriller,English,USA,R,91,1.85,12000000.0,21370057.0,Brian De Palma,Steven Bauer,Gabrielle Carteris,Gregg Henry,0,636,330,298.0,1852,541,0,9903,80,33.0,6.0,9370057.0
637,Reservoir Dogs ,1992,Crime|Drama|Thriller,English,USA,R,99,2.35,1200000.0,2812029.0,Quentin Tarantino,Quentin Tarantino,Steve Buscemi,Chris Penn,16000,16000,12000,455.0,28994,19000,0,664719,931,173.0,8.4,1612029.0
638,Split Second ,1992,Action|Crime|Horror|Sci-Fi|Thriller,English,UK,R,96,1.85,7000000.0,5430822.0,Tony Maylam,Michael J. Pollard,Alun Armstrong,Alastair Duncan,6,206,192,38.0,493,0,0,8391,75,39.0,6.2,-1569178.0
639,The Bodyguard ,1992,Action|Drama|Music|Romance,English,USA,R,129,1.85,25000000.0,121945720.0,Mick Jackson,Bill Cobbs,Mike Starr,DeVaughn Nixon,81,970,854,164.0,2551,0,0,89972,126,48.0,6.1,96945720.0
640,The Crying Game ,1992,Crime|Drama|Romance|Thriller,English,UK,R,112,2.35,2300000.0,62549000.0,Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,277,1000,530,327.0,2412,0,0,41361,148,63.0,7.3,60249000.0
641,The Last of the Mohicans ,1992,Action|Adventure|Drama|Romance|War,English,USA,R,117,2.35,40000000.0,72455275.0,Michael Mann,Wes Studi,Terry Kinney,Eric Schweig,0,855,363,322.0,2144,0,1,113068,382,89.0,7.8,32455275.0
642,The Lawnmower Man ,1992,Horror|Sci-Fi,English,UK,R,140,1.85,10000000.0,32101000.0,Brett Leonard,Jeff Fahey,Austin O'Brien,Troy Evans,32,535,211,120.0,1109,0,0,27800,96,48.0,5.4,22101000.0
643,The Mighty Ducks ,1992,Comedy|Drama|Family|Sport,English,USA,PG,100,1.85,10000000.0,50752337.0,Stephen Herek,Lane Smith,Shaun Weiss,Elden Henson,65,633,613,577.0,3362,0,8,44502,46,22.0,6.4,40752337.0
644,The Muppet Christmas Carol ,1992,Comedy|Drama|Family|Fantasy|Musical,English,USA,G,89,1.85,12000000.0,27281507.0,Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,53,227,94,84.0,534,0,0,33850,147,75.0,7.7,15281507.0
645,Unforgiven ,1992,Drama|Western,English,USA,R,131,2.35,14400000.0,101157447.0,Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,16000,16000,11000,638.0,28544,10000,1,277505,495,131.0,8.3,86757447.0
646,Wayne's World ,1992,Comedy|Music,English,USA,PG-13,94,1.85,20000000.0,121697350.0,Penelope Spheeris,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,122,1000,619,617.0,4263,0,2,114610,176,61.0,7.0,101697350.0
647,Airborne ,1993,Adventure|Comedy|Sport,English,USA,PG,91,1.85,2600000.0,2850263.0,Rob Bowman,Alanna Ubach,Jacob Vargas,Brittney Powell,38,584,399,117.0,1218,0,0,5061,70,9.0,6.2,250263.0
648,Alive ,1993,Adventure|Biography|Drama|Thriller,English,USA,R,120,1.85,32000000.0,36733909.0,Frank Marshall,Illeana Douglas,Danny Nucci,Michael DeLorenzo,155,344,242,240.0,2054,0,3,38949,112,43.0,7.1,4733909.0
649,"Blood In, Blood Out ",1993,Crime|Drama,English,USA,R,330,1.66,35000000.0,4496583.0,Taylor Hackford,Delroy Lindo,Jesse Borrego,Raymond Cruz,138,848,674,672.0,3227,6000,2,23181,129,12.0,8.0,-30503417.0
650,Cliffhanger ,1993,Action|Adventure|Thriller,English,USA,R,124,2.35,70000000.0,84049211.0,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,212,13000,730,369.0,15229,0,1,96096,172,74.0,6.4,14049211.0
651,Cool Runnings ,1993,Adventure|Comedy|Family|Sport,English,USA,PG,98,1.85,15000000.0,68856263.0,Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,226,953,730,496.0,2496,0,1,69733,97,39.0,6.9,53856263.0
652,Dazed and Confused ,1993,Comedy,English,USA,R,102,1.85,6900000.0,7993039.0,Richard Linklater,Milla Jovovich,Adam Goldberg,Cole Hauser,0,14000,1000,787.0,18643,10000,1,120036,408,152.0,7.7,1093039.0
653,Ed and His Dead Mother ,1993,Comedy|Horror,English,USA,PG-13,93,1.78,1800000.0,3.0,Jonathan Wacks,Steve Buscemi,Gary Farmer,Jon Gries,0,12000,580,482.0,14620,266,0,1435,17,13.0,6.1,-1799997.0
654,Excessive Force ,1993,Action,English,USA,R,87,1.85,3000000.0,1200000.0,Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,29,683,155,147.0,1139,107,1,922,23,19.0,5.1,-1800000.0
655,Gettysburg ,1993,Drama|History|War,English,USA,PG,271,1.85,25000000.0,10769960.0,Ron Maxwell,Tom Berenger,William Morgan Sheppard,James Patrick Stuart,33,854,702,251.0,2107,0,0,21940,256,22.0,7.7,-14230040.0
656,Groundhog Day ,1993,Comedy|Fantasy|Romance,English,USA,PG,101,1.85,14600000.0,70906973.0,Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,11000,13000,571,512.0,15500,38000,1,437418,609,147.0,8.1,56306973.0
657,Hocus Pocus ,1993,Comedy|Family|Fantasy,English,USA,PG,96,1.85,28000000.0,39514713.0,Kenny Ortega,Vinessa Shaw,Omri Katz,Larry Bagby,197,580,336,115.0,1275,16000,0,60494,132,36.0,6.7,11514713.0
658,Jason Goes to Hell: The Final Friday ,1993,Fantasy|Horror|Thriller,English,USA,R,91,1.85,2500000.0,15935068.0,Adam Marcus,Kane Hodder,Leslie Jordan,Erin Gray,18,935,805,307.0,2899,949,0,19331,317,112.0,4.3,13435068.0
659,Jurassic Park ,1993,Adventure|Sci-Fi|Thriller,English,USA,PG-13,127,1.85,63000000.0,356784000.0,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,14000,967,610,191.0,2129,19000,0,613473,895,308.0,8.1,293784000.0
660,Killing Zoe ,1993,Crime|Drama|Thriller,English,France,R,99,1.85,1500000.0,418953.0,Roger Avary,Eric Stoltz,Salvator Xuereb,Jean-Hugues Anglade,675,902,424,164.0,1582,853,0,17322,93,37.0,6.5,-1081047.0
661,Last Action Hero ,1993,Action|Adventure|Comedy|Fantasy,English,USA,PG-13,130,2.35,70000000.0,50016394.0,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,323,670,442,330.0,2407,0,1,106528,257,80.0,6.2,-19983606.0
662,Les visiteurs ,1993,Comedy|Fantasy|Sci-Fi,French,France,R,107,2.35,50000000.0,700000.0,Jean-Marie Poiré,Christian Clavier,Isabelle Nanty,Valérie Lemercier,8,106,54,39.0,215,0,1,24438,78,16.0,7.0,-49300000.0
663,Loaded Weapon 1 ,1993,Action|Comedy|Crime,English,USA,PG-13,84,1.85,8200000.0,27979400.0,Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,0,11000,852,182.0,12322,0,2,37611,72,19.0,6.1,19779400.0
664,Madadayo ,1993,Drama,Japanese,Japan,3,134,1.85,11900000.0,48856.0,Akira Kurosawa,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,0,15,6,4.0,30,355,0,3466,40,25.0,7.5,-11851144.0
665,Menace II Society ,1993,Crime|Drama|Thriller,English,USA,R,97,1.85,3500000.0,27900000.0,Albert Hughes,Jada Pinkett Smith,Larenz Tate,Khandi Alexander,117,851,582,556.0,3036,0,2,39508,96,28.0,7.5,24400000.0
666,Mrs. Doubtfire ,1993,Comedy|Drama|Family|Romance,English,USA,PG-13,125,2.35,25000000.0,219200000.0,Chris Columbus,Robin Williams,Mara Wilson,Matthew Lawrence,0,49000,1000,711.0,52201,0,5,181380,223,57.0,6.9,194200000.0
667,Much Ado About Nothing ,1993,Comedy|Drama|Romance,English,UK,PG-13,111,1.85,8000000.0,22551000.0,Kenneth Branagh,Keanu Reeves,Denzel Washington,Brian Blessed,0,18000,18000,591.0,37645,0,0,37269,165,41.0,7.4,14551000.0
668,Nowhere to Run ,1993,Action|Crime|Drama|Romance|Thriller,English,USA,R,94,1.85,15000000.0,22189039.0,Robert Harmon,Kieran Culkin,Rosanna Arquette,Joss Ackland,11,1000,605,232.0,2210,466,0,17074,55,25.0,5.5,7189039.0
669,Only the Strong ,1993,Action|Drama,English,USA,PG-13,99,1.85,6000000.0,3273588.0,Sheldon Lettich,Antoni Corone,Ryan Bollman,Todd Susman,23,97,91,82.0,382,0,1,4195,50,17.0,6.7,-2726412.0
670,Philadelphia ,1993,Drama,English,USA,PG-13,125,1.85,26000000.0,77324422.0,Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,438,18000,15000,372.0,33865,0,2,178731,261,68.0,7.7,51324422.0
671,Poetic Justice ,1993,Drama|Romance,English,USA,R,109,1.85,14000000.0,27515786.0,John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,309,592,556,279.0,1620,0,0,8904,31,12.0,5.9,13515786.0
672,Return of the Living Dead III ,1993,Horror|Romance|Sci-Fi,English,USA,R,97,1.85,2000000.0,3.0,Brian Yuzna,Melinda Clarke,Kent McCord,Sarah Douglas,97,787,196,163.0,1362,810,1,10182,130,46.0,5.9,-1999997.0
673,RoboCop 3 ,1993,Action|Crime|Sci-Fi|Thriller,English,USA,PG-13,104,1.85,23500000.0,10696210.0,Fred Dekker,CCH Pounder,Rip Torn,Mako,87,1000,826,691.0,3148,716,0,35018,180,75.0,3.9,-12803790.0
674,Romeo Is Bleeding ,1993,Action|Crime|Drama|Thriller,English,UK,R,100,1.85,11500000.0,3275585.0,Peter Medak,Gary Oldman,Michael Wincott,Lena Olin,34,10000,721,541.0,13160,561,1,10735,88,30.0,6.6,-8224415.0
675,Ruby in Paradise ,1993,Drama|Romance,English,USA,R,114,1.85,800000.0,1001437.0,Victor Nunez,Allison Dean,Todd Field,Dorothy Lyman,9,159,143,86.0,423,81,1,2039,28,11.0,7.2,201437.0
676,Schindler's List ,1993,Biography|Drama|History,English,USA,R,185,1.85,22000000.0,96067179.0,Steven Spielberg,Liam Neeson,Embeth Davidtz,Caroline Goodall,14000,14000,795,212.0,15233,41000,0,865020,1273,174.0,8.9,74067179.0
677,Shadowlands ,1993,Biography|Drama|Romance,English,UK,PG,115,2.35,22000000.0,25842000.0,Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,0,12000,1000,266.0,13619,2000,0,13455,87,23.0,7.4,3842000.0
678,Sugar Hill ,1993,Drama|Thriller,English,USA,R,123,1.85,10000000.0,18272447.0,Leon Ichaso,Khandi Alexander,Clarence Williams III,Steve Harris,5,556,475,338.0,2149,331,1,3119,35,14.0,5.9,8272447.0
679,Super Mario Bros. ,1993,Adventure|Comedy|Family|Fantasy|Sci-Fi,English,UK,PG,104,1.85,42000000.0,20915465.0,Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,5,5000,922,687.0,7723,0,0,38203,290,36.0,4.0,-21084535.0
680,Teenage Mutant Ninja Turtles III ,1993,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,96,1.85,17000000.0,42660000.0,Stuart Gillard,Paige Turco,John Aylward,Matt Hill,8,533,219,199.0,1254,1000,0,25086,87,60.0,4.8,25660000.0
681,The Adventures of Huck Finn ,1993,Adventure|Comedy|Drama|Family,English,USA,PG,108,1.85,6500000.0,24103594.0,Stephen Sommers,Curtis Armstrong,Frances Conroy,Anne Heche,208,876,827,689.0,4840,391,0,6384,54,14.0,6.2,17603594.0
682,The Age of Innocence ,1993,Drama|Romance,English,USA,PG,139,2.35,30000000.0,32000000.0,Martin Scorsese,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,17000,554,382,94.0,1068,0,3,36267,150,56.0,7.2,2000000.0
683,The Firm ,1993,Drama|Mystery|Thriller,English,USA,R,154,1.85,42000000.0,158348400.0,Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,521,10000,1000,957.0,14244,0,0,88844,142,56.0,6.8,116348400.0
684,The Fugitive ,1993,Action|Adventure|Crime|Drama|Mystery|Thriller,English,USA,PG-13,130,1.85,44000000.0,183875760.0,Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,99,11000,1000,812.0,13357,0,1,213668,270,119.0,7.8,139875760.0
685,The Nutcracker ,1993,Family|Fantasy|Music,English,USA,G,92,1.85,19000000.0,2119994.0,Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,22,2,0,0.0,2,238,0,1153,15,10.0,5.7,-16880006.0
686,The Pelican Brief ,1993,Crime|Drama|Mystery|Thriller,English,USA,PG-13,141,2.35,45000000.0,100768056.0,Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,79,18000,8000,956.0,30063,0,0,59569,89,43.0,6.5,55768056.0
687,The Piano ,1993,Drama|Music|Romance,English,New Zealand,R,121,1.85,7000000.0,40158000.0,Jane Campion,Holly Hunter,Ian Mune,Geneviève Lemon,319,1000,18,11.0,1051,0,1,63931,241,83.0,7.6,33158000.0
688,The Princess and the Cobbler ,1993,Action|Adventure|Animation|Comedy|Fantasy,English,UK,G,80,2.35,28000000.0,669276.0,Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,18,742,83,73.0,1088,408,0,2541,47,10.0,7.2,-27330724.0
689,The Remains of the Day ,1993,Drama|Romance,English,UK,PG,134,2.35,11500000.0,22954968.0,James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin,133,12000,310,258.0,12749,0,1,45703,156,58.0,7.9,11454968.0
690,Tombstone ,1993,Action|Biography|Drama|History|Romance|Western,English,USA,R,134,2.35,25000000.0,56505065.0,George P. Cosmatos,Michael Biehn,Dana Delany,Powers Boothe,170,2000,722,472.0,4453,11000,0,95241,439,84.0,7.8,31505065.0
691,True Romance ,1993,Action|Crime|Drama|Romance|Thriller,English,USA,R,121,2.35,13000000.0,12281500.0,Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,12000,11000,10000,975.0,23602,15000,3,163492,460,122.0,8.0,-718500.0
692,Warlock: The Armageddon ,1993,Fantasy|Horror,English,USA,R,98,1.66,3000000.0,3902679.0,Anthony Hickox,Julian Sands,Zach Galligan,Paula Marshall,16,687,233,222.0,1806,217,0,3943,49,22.0,5.3,902679.0
693,What's Eating Gilbert Grape ,1993,Drama|Romance,English,USA,PG-13,118,1.85,11000000.0,9170214.0,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Kevin Tighe,529,40000,29000,472.0,69746,14000,1,171882,292,80.0,7.8,-1829786.0
694,What's Love Got to Do with It ,1993,Biography|Drama|Music,English,USA,R,118,1.85,3.0,39100956.0,Brian Gibson,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,13,90,22,2.0,114,0,0,13442,59,19.0,7.2,39100953.0
695,3 Ninjas Kick Back ,1994,Action|Comedy|Family,English,USA,PG,93,1.85,20000000.0,11784000.0,Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,18,400,220,181.0,1151,444,0,6701,26,5.0,4.3,-8216000.0
696,A Low Down Dirty Shame ,1994,Action|Comedy|Crime,English,USA,R,100,1.85,10000000.0,29392418.0,Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,322,851,543,534.0,3190,368,2,3924,26,8.0,5.8,19392418.0
697,Ace Ventura: Pet Detective ,1994,Comedy,English,USA,PG-13,78,1.85,12000000.0,72217000.0,Tom Shadyac,Sean Young,Udo Kier,David Margulies,293,759,595,567.0,2462,0,1,216486,242,61.0,6.9,60217000.0
698,Baby's Day Out ,1994,Adventure|Comedy|Crime|Drama|Family,English,USA,PG,99,1.85,50000000.0,16671505.0,Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,32,1000,619,479.0,2949,0,1,33186,78,22.0,5.9,-33328495.0
699,Beverly Hills Cop III ,1994,Action|Comedy|Crime|Thriller,English,USA,R,104,1.85,55000000.0,42610000.0,John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,644,437,289,174.0,1093,669,1,60293,114,36.0,5.5,-12390000.0
700,Bullets Over Broadway ,1994,Comedy|Crime,English,USA,R,98,1.85,20000000.0,13383737.0,Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,11000,1000,979,967.0,4302,979,4,29385,86,67.0,7.5,-6616263.0
701,Clear and Present Danger ,1994,Action|Crime|Drama|Thriller,English,USA,PG-13,141,2.35,62000000.0,122012710.0,Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,176,11000,913,672.0,14178,0,1,69663,133,42.0,6.9,60012710.0
702,Clerks ,1994,Comedy,English,USA,R,102,1.37,230000.0,3151130.0,Kevin Smith,Jason Mewes,Brian O'Halloran,Jeff Anderson,0,898,657,216.0,2103,0,4,181749,615,136.0,7.8,2921130.0
703,Crooklyn ,1994,Comedy|Drama,English,USA,PG-13,115,1.85,14000000.0,13640000.0,Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,0,1000,848,534.0,3267,905,0,6011,39,25.0,6.9,-360000.0
704,Disclosure ,1994,Drama|Thriller,English,USA,R,128,2.35,55000000.0,83000000.0,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,272,2000,812,383.0,3888,0,0,36587,95,55.0,6.0,28000000.0
705,Don Juan DeMarco ,1994,Comedy|Drama|Romance,English,USA,PG-13,97,1.85,25000000.0,22200000.0,Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,19,40000,10000,977.0,52122,0,3,41310,117,44.0,6.8,-2800000.0
706,Dumb & Dumber ,1994,Comedy,English,USA,PG-13,113,1.85,16000000.0,127175354.0,Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,137,879,854,481.0,2985,0,2,288451,438,84.0,7.3,111175354.0
707,Ed Wood ,1994,Biography|Comedy|Drama,English,USA,R,127,1.85,18000000.0,5887457.0,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,13000,40000,13000,940.0,56585,0,1,142416,420,148.0,7.9,-12112543.0
708,Exotica ,1994,Drama|Mystery|Romance,English,Canada,R,103,1.85,2000000.0,5132222.0,Atom Egoyan,Bruce Greenwood,Mia Kirshner,Sarah Polley,460,991,971,900.0,2990,619,1,14112,83,53.0,7.2,3132222.0
709,Forrest Gump ,1994,Comedy|Drama,English,USA,PG-13,142,2.35,55000000.0,329691196.0,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,0,15000,294,194.0,15700,59000,0,1251222,1398,149.0,8.8,274691196.0
710,Four Weddings and a Funeral ,1994,Comedy|Drama|Romance,English,UK,R,117,1.66,4500000.0,52700832.0,Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,179,1000,398,239.0,1862,0,4,107923,197,84.0,7.1,48200832.0
